Dist Code,Year,State Code,State Name,Dist Name,TOTAL AREA (1000 ha),FOREST AREA (1000 ha),BARREN AND UNCULTIVABLE LAND AREA (1000 ha),LAND PUT TO NONAGRICULTURAL USE AREA (1000 ha),CULTIVABLE WASTE LAND AREA (1000 ha),PERMANENT PASTURES AREA (1000 ha),OTHER FALLOW AREA (1000 ha),CURRENT FALLOW AREA (1000 ha),NET CROPPED AREA (1000 ha),GROSS CROPPED AREA (1000 ha),CROPING INTENSITY (Percent)
960,2017,2,Bihar,Sheohar,43.48,0.0,0.41,11.41,0.02,0.0,0.81,3.78,23.37,45.63,195.25
961,2016,2,Bihar,Arwal,62.63,100.86084437890429,2.18,10.57,0.08,0.14,1.55,4.77,42.4,65.73,155.02
961,2017,2,Bihar,Arwal,62.63,0.0,2.18,10.58,0.08,0.13,1.55,3.47,43.7,64.98,148.7
962,2016,15,Jharkhand,Jamtara,180.7,14.04,9.22,22.75,14.38,14.24,39.39,13.3,51.43,61.93,120.42
962,2017,15,Jharkhand,Jamtara,180.7,14.04,9.21,16.93,14.38,14.24,39.35,16.13,54.47,65.26,119.81
963,2016,15,Jharkhand,Latehar,383.49,195.02,25.51,14.13,14.19,1.34,42.95,60.44,27.06,59.39,219.48
963,2017,15,Jharkhand,Latehar,383.49,195.02,24.76,14.95,14.38,1.48,47.95,47.88,33.8,63.7,188.44
964,2016,15,Jharkhand,Sariakela Kharsawan,237.23,64.97,16.48,21.56,11.09,3.44,19.22,41.47,55.82,59.73,107.0
964,2017,15,Jharkhand,Sariakela Kharsawan,237.23,64.97,16.48,21.56,12.32,3.44,28.27,34.55,52.03,53.24,102.33
965,2016,15,Jharkhand,Simdega,379.43,103.67,21.74,19.54,15.18,2.75,64.47,58.35,81.69,84.73,103.72
965,2017,15,Jharkhand,Simdega,379.43,103.67,21.74,19.54,15.18,2.75,72.05,56.62,75.83,83.76,110.46
999,2016,11,Tamil Nadu,Chennai,17.1,0.3,27.72597024606415,16.8,20.230338993740848,16.479833968248293,19.490427763081968,0.9529537139066893,83.39372867995664,163.53924679104847,158.4141837853604
999,2017,11,Tamil Nadu,Chennai,17.1,0.3,27.72597024606415,16.8,20.230338993740848,16.479833968248293,19.490427763081968,0.9529537139066893,83.39372867995664,163.53924679104847,158.4141837853604
1001,2016,3,Gujarat,Anand,277.7,0.0,21.4,40.6,8.3,13.6,1.1,5.9,186.8,391.9,209.8
1001,2017,3,Gujarat,Anand,277.7,0.0,21.4,40.8,8.3,13.6,1.9,7.9,183.8,384.1,208.98
1002,2016,3,Gujarat,Dahod,364.2,93.7,11.1,20.5,4.3,8.4,0.4,2.0,223.7,350.8,156.82
1002,2017,3,Gujarat,Dahod,364.2,93.7,11.1,20.5,4.3,8.5,0.4,2.0,223.6,377.9,169.01
1003,2016,3,Gujarat,Narmada,281.5,106.8,8.3,32.1,4.8,8.1,4.6,3.0,113.8,127.1,111.69
1003,2017,3,Gujarat,Narmada,281.5,106.9,8.3,32.1,5.4,8.1,4.6,3.0,113.0,125.3,110.88
1004,2016,3,Gujarat,Navsari,221.1,31.7,11.2,34.8,2.8,14.2,0.0,17.7,108.2,132.3,122.27
1004,2017,3,Gujarat,Navsari,221.1,31.7,11.4,34.8,4.0,14.1,0.0,17.8,106.8,114.2,106.93
1005,2016,3,Gujarat,Patan,577.1,55.7,15.6,53.6,9.2,31.7,0.0,56.3,354.9,505.4,142.41
1005,2017,3,Gujarat,Patan,577.1,55.7,15.6,53.5,6.6,30.7,0.0,54.5,360.4,543.9,150.92
1006,2016,3,Gujarat,Porbandar,231.2,29.6,18.6,25.2,4.7,25.5,0.0,17.0,110.6,187.1,169.17
1006,2017,3,Gujarat,Porbandar,231.2,29.6,18.6,25.2,4.7,25.5,0.0,16.7,110.9,203.0,183.05
1007,2016,4,Haryana,Fatehabad,249.0,4.0,2.0,20.0,0.0,0.0,1.0,0.0,221.0,431.0,195.02
